ISO3,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,0.221522091,0.211899619,0.227326382,0.229081439,0.245571497,0.244570882,0.255770063,0.246029862,0.241010608,0.248741123,0.237494551,0.247010486,0.250170592
ALB,Albania,0.371603712,0.370484429,0.377778421,0.390705632,0.41439624,0.419362854,0.413485079,0.414570437,0.416876485,0.410337698,0.41051982,0.415554363,0.421475226
DZA,Algeria,0.282221511,0.275526206,0.275895596,0.288822662,0.286183387,0.290977146,0.300840096,0.323634146,0.324980497,0.325884378,0.32831236,0.332142729,0.337639984
AND,Andorra,0.270970568,0.275343021,0.279292678,0.285358113,0.285908434,0.291700495,0.298304111,0.302246481,0.303512849,0.34324513,0.350236958,0.35209519,0.397004792
AGO,Angola,0.189723493,0.18781437,0.200504178,0.209312294,0.216402585,0.211777056,0.239973526,0.242696464,0.254305319,0.257704777,0.260157018,0.266714008,0.270459219
ATG,Antigua and Barbuda,0.487170459,0.48078276,0.489363988,0.483123348,0.457540702,0.464268451,0.457376894,0.438820192,0.451555912,0.453211329,0.451754052,0.448117282,0.449569467
ARG,Argentina,0.353880511,0.357222254,0.351446083,0.340572044,0.332769622,0.335900456,0.37223934,0.376074105,0.379087948,0.376781771,0.381977892,0.376861178,0.37582632
ARM,Armenia,0.430811706,0.430932843,0.440857639,0.45673852,0.470756779,0.478555182,0.489311126,0.487574368,0.499079328,0.510610348,0.504434595,0.504011207,0.501353573
AUS,Australia,0.696457701,0.700222452,0.703723205,0.714300167,0.715788781,0.712159488,0.711084836,0.696643989,0.700983122,0.699044908,0.686581182,0.699247103,0.696994032
AUT,Austria,0.678966257,0.679493924,0.68473662,0.699588068,0.712948429,0.708937771,0.692095287,0.695271262,0.695418506,0.690671927,0.686400454,0.684133576,0.678961147
AZE,Azerbaijan,0.364756642,0.367480184,0.362062056,0.383159067,0.409013282,0.417000565,0.437073168,0.426185233,0.428040446,0.448320655,0.434419968,0.448620643,0.444347915
BHS,Bahamas,0.447877883,0.448560077,0.453027765,0.443986478,0.449112364,0.443311285,0.436232421,0.429057899,0.426422199,0.427055895,0.422481423,0.425700929,0.425833488
BHR,Bahrain,0.455853435,0.462811152,0.46671154,0.467174261,0.485864864,0.482684079,0.472111757,0.464978703,0.466655984,0.473098173,0.502535036,0.52134368,0.5299319
BGD,Bangladesh,0.454882797,0.457886451,0.459416156,0.460580163,0.254640561,0.251795399,0.267886646,0.268419236,0.272156024,0.27253086,0.277901613,0.278501827,0.27484091
BRB,Barbados,0.6315271,0.64090183,0.511484406,0.515312247,0.511135368,0.525729974,0.511203293,0.520073381,0.521194612,0.525379661,0.536458197,0.591925326,0.593347108
BLR,Belarus,0.434907868,0.446617921,0.476039954,0.480346754,0.473827607,0.472542818,0.488654416,0.511087286,0.513170199,0.515894068,0.489199973,0.483025773,0.466394436
BEL,Belgium,0.586897482,0.587903845,0.595010888,0.601529962,0.613973566,0.613655693,0.604566622,0.598465211,0.590958405,0.590674715,0.597543911,0.598901204,0.598332633
BLZ,Belize,0.337151047,0.325980927,0.332373515,0.334971051,0.331755242,0.331404931,0.327808568,0.327419657,0.327200064,0.327902887,0.334313716,0.329923239,0.335117353
BEN,Benin,0.273169773,0.277185421,0.274724671,0.286835809,0.288823651,0.302833404,0.309293106,0.320559752,0.331234104,0.325563841,0.332659927,0.334732897,0.338375813
