Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,-2.579151869,-2.502059698,-2.418561459,-2.519349098,-2.411068439,-2.56262517,-2.662156105,-2.794975519,-2.753441334,-2.65253973,-2.702721119,-2.518676043,-2.544955969,-2.484080553
Albania,ALB,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.341639042,0.337447882,0.373770744,0.366779268,0.110105053,0.088612519,0.196371928,0.106261313,0.183348969
Algeria,DZA,-1.259367585,-1.360560656,-1.325043321,-1.202371478,-1.190535188,-1.090786576,-1.099741936,-0.919614315,-0.842107713,-1.055853844,-0.847820401,-0.992457151,-0.650652349,-0.57788527
American Samoa,ASM,0.919146717,0.93399018,0.95299083,0.928985775,1.08068347,1.151678085,1.158555984,1.184323668,1.166297317,1.144933939,1.09020865,1.066840887,1.123173952,1.114221215
Andorra,AND,1.278272152,1.302488327,1.290351152,1.28392601,1.286593318,1.365985394,1.382750273,1.392889738,1.391248584,1.57736671,1.58867538,1.58125937,1.585988402,1.583465934
Angola,AGO,-0.226182342,-0.36923781,-0.389322549,-0.391233474,-0.333232045,-0.505385816,-0.321580082,-0.387895495,-0.347208589,-0.368411601,-0.599917889,-0.71048075,-0.630108535,-0.341505051
Anguilla,AIA,1.373761654,1.550927639,1.476920247,1.533979535,1.164254904,1.220001817,1.284042716,1.358390927,1.255063415,1.317046165,1.503842711,1.528787374,1.123173952,1.114221215
Antigua and Barbuda,ATG,0.904999375,0.957588255,0.975788057,0.958863378,0.984550714,0.987564266,0.859249651,0.732060909,0.823102117,0.938079655,0.929578841,0.949669898,0.938082099,0.92339325
Argentina,ARG,-0.084797867,0.158993661,0.103040546,0.065314263,-0.005121871,0.008764135,0.197749898,0.162542164,0.006909812,-0.097823091,-0.071997404,0.000530059,-0.09859433,-0.127517909
Armenia,ARM,0.071855329,-0.063868985,0.154794976,0.110385142,-0.2971358,-0.256798655,-0.667951107,-0.626211166,-0.451066911,-0.420024991,-0.77164489,-0.804041028,-0.740756273,-0.829278231
Aruba,ABW,1.100847363,1.285737753,1.263881564,1.312226295,1.164567828,1.21023953,1.260758519,1.313845992,1.337509871,1.335807323,1.37159121,1.431726694,1.483079791,1.432524562
Australia,AUS,0.888859868,0.935710073,0.997997224,1.031072974,1.032191992,0.873180687,1.033424497,0.876064062,0.971185446,0.917978942,0.862161875,0.835079134,0.983715951,0.917057216
Austria,AUT,1.152648211,1.193521619,1.340566874,1.364100575,1.270700455,1.129330516,0.892175972,1.02962482,0.884860396,0.892189026,0.887600899,0.899554431,0.648710012,0.727989197
Azerbaijan,AZE,-0.238546923,-0.532135963,-0.715751827,-0.412859917,-0.559909523,-0.73391664,-0.80890882,-0.751901031,-0.711399376,-0.693411469,-0.852253795,-0.83782357,-0.922807276,-0.730753899
"Bahamas, The",BHS,0.993692219,1.103621483,1.184026003,1.134824634,0.956470132,0.894982457,0.959943354,0.976762533,0.847745538,0.801568568,0.830306888,0.85096854,0.881239235,1.008562326
Bahrain,BHR,-0.493476391,-0.950841904,-1.129954934,-1.335417747,-0.907474875,-1.068262696,-0.792700231,-0.958746254,-0.846294165,-0.626829982,-0.61010462,-0.5247612,-0.362905443,-0.373967588
Bangladesh,BGD,-1.425789475,-1.404736876,-1.379088998,-1.627858877,-0.895563185,-1.209773779,-1.259732962,-1.253627181,-0.98556906,-0.928628743,-0.915816903,-1.036882758,-1.046462059,-0.908656716
